idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
92102,330,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,2011,Never too young,Male,1990,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,25,25,Refusal,Not applicable,44
92272,390,6,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",Never too young,Female,2002,Folkeskole 9.-10. klasse,10,Not applicable,Not applicable,Not applicable,Not applicable,54
92275,240,9,Yes,Dansk Folkeparti - Danish People's Party,2006,Never too young,Female,1987,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,37,20000,Not applicable,70
92301,90,8,Yes,Socialdemokratiet - The Social democrats,1998,35,Female,1976,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,35,38,30000,36000,45
92314,90,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1989,55,Male,1968,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20,37,45,550000,Not applicable,65
92337,30,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party","Still in parental home, never left 2 months",55,Male,1950,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,14,14,Not applicable,Not applicable,45
92394,20,9,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1975,60,Male,1953,Universitetsbachelor. 1. del af kandidatuddannelse,3,37,37,Not applicable,Not applicable,64
92487,60,8,Yes,Socialdemokratiet - The Social democrats,1973,40,Male,1949,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",11,37,40,Not applicable,Not applicable,56
92553,360,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1997,60,Female,1979,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,30,30,38000,Not applicable,49
92559,20,6,Yes,Dansk Folkeparti - Danish People's Party,1989,65,Male,1966,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,37,37,36000,Not applicable,56
92635,540,8,Yes,Det Konservative Folkeparti - Conservative People's Party,1991,Never too young,Male,1971,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,38,39,50000,Not applicable,49
92691,540,4,Not eligible to vote,Not applicable,2013,50,Female,1998,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,37,36,Not applicable,Not applicable,66
92734,360,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,2015,60,Female,1995,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",17,0,5,Not applicable,Not applicable,58
92768,120,9,Yes,Alternativet - The Alternative,2011,30,Female,1992,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17,37,37,Not applicable,Not applicable,40
92798,540,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",2015,Never too young,Female,1994,Universitetsbachelor. 1. del af kandidatuddannelse,16,20,20,14000,Not applicable,48
92807,Not applicable,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1992,Don't know,Female,1975,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",12,3,3,Not applicable,Not applicable,56
92824,150,8,Yes,Det Konservative Folkeparti - Conservative People's Party,2013,65,Male,1992,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,45,29500,Not applicable,46
93017,15,Most people can be trusted,Not eligible to vote,Not applicable,2008,65,Female,1987,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",13,25,25,0,Not applicable,102
93056,60,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1997,67,Male,1973,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,40,62000,80000,
93065,240,8,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",45,Male,2001,Folkeskole 9.-10. klasse,10,Not applicable,Not applicable,Not applicable,Not applicable,50
93117,150,9,Yes,Det Radikale Venstre - The Radical Liberal Party,1975,60,Male,1956,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17,40,42,50000,Not applicable,54
93178,30,8,Yes,Det Radikale Venstre - The Radical Liberal Party,1989,60,Female,1970,"Forskeruddannelse. Ph.d., doktor",20,37,37,47000,Not applicable,69
93221,480,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1995,30,Female,1975,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16,30,33,32000,Not applicable,74
93276,600,5,Not eligible to vote,Not applicable,1999,50,Male,1981,Folkeskole 9.-10. klasse,10,40,40,20000,20000,66
93384,480,Most people can be trusted,Yes,Don't know,1999,20,Male,1980,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",35,35,35,Don't know,Don't know,50
93417,30,5,Yes,Socialdemokratiet - The Social democrats,1999,25,Male,1979,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,50,50000,Not applicable,95
93488,300,7,Not eligible to vote,Not applicable,1998,65,Female,1980,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,37,27000,35000,77
93516,30,9,Yes,Dansk Folkeparti - Danish People's Party,2002,18,Male,1978,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,8000,Not applicable,62
93567,240,7,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",60,Male,1999,Folkeskole 9.-10. klasse,10,37,40,3000,Not applicable,57
93571,5,5,Yes,Dansk Folkeparti - Danish People's Party,2013,54,Male,1965,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,37,40,Not applicable,Not applicable,66
93640,Not applicable,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1964,62,Male,1946,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20,37,50,Not applicable,Not applicable,56
93707,70,9,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1980,60,Female,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,39,31200,Not applicable,77
93748,120,7,Yes,Refusal,1990,Never too young,Male,1971,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",3,37,55,450000,550000,69
93766,180,9,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1984,Don't know,Female,1964,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",25,37,55,99999,9999,86
93939,600,6,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",68,Male,2003,Folkeskole 6.-8. klasse,9,20,20,Not applicable,Not applicable,67
94016,480,8,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1967,Refusal,Male,1947,Licentiat,Refusal,37,50,Not applicable,Not applicable,67
94043,510,4,Yes,Det Radikale Venstre - The Radical Liberal Party,2011,88,Male,1992,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,37,45,38000,Not applicable,32
94092,30,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1986,Don't know,Male,1967,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",12,Not applicable,45,Not applicable,Not applicable,95
94120,90,8,Yes,Socialdemokratiet - The Social democrats,1966,Never too young,Female,1945,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",40,37,37,Not applicable,Not applicable,82
94168,45,7,No,Not applicable,1993,60,Male,1973,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20,50,50,585000,Not applicable,59
94216,45,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1968,60,Female,1948,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,30,40,Not applicable,Not applicable,81
94224,60,9,Yes,Socialdemokratiet - The Social democrats,1968,60,Female,1950,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20,32,32,Not applicable,Not applicable,63
94230,600,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1994,60,Male,1976,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,37,45,65000,70000,50
94233,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1990,59,Male,1974,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",3,37,48,57000,50000,65
94295,70,8,Yes,Socialdemokratiet - The Social democrats,1971,Don't know,Male,1951,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,42,45,Not applicable,Not applicable,106
94327,121,7,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1996,64,Female,1981,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,35,45,17600,Not applicable,187
94369,90,Most people can be trusted,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1998,52,Male,1976,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,10000,10000,37
94382,60,8,Yes,Socialdemokratiet - The Social democrats,1972,60,Male,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,37,Not applicable,Not applicable,56
94383,60,9,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1971,55,Female,1953,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,32,32,Not applicable,Not applicable,72
94428,480,8,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",60,Male,2002,Folkeskole 9.-10. klasse,10,6,6,1300,1300,55
94437,180,9,Yes,Alternativet - The Alternative,1999,Refusal,Female,1978,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,28,30,Don't know,Not applicable,52
94498,180,8,Yes,Dansk Folkeparti - Danish People's Party,2001,60,Female,1985,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,37,21000,Not applicable,66
94557,150,5,Yes,Socialdemokratiet - The Social democrats,1978,55,Male,1959,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",9,Don't know,30,Not applicable,Not applicable,92
94558,60,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1961,65,Female,1944,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",3,37,37,Not applicable,Not applicable,73
94595,60,7,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1988,60,Male,1966,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",8,37,40,75000,Not applicable,61
94617,Not applicable,7,Yes,Socialdemokratiet - The Social democrats,1965,Refusal,Male,1946,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",12,37,37,Not applicable,Not applicable,49
94655,30,5,Yes,Socialdemokratiet - The Social democrats,1959,60,Female,1940,Folkeskole 9.-10. klasse,10,37,37,Not applicable,Not applicable,50
94703,120,8,Yes,Det Konservative Folkeparti - Conservative People's Party,1988,60,Male,1967,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16,37,40,50000,Not applicable,64
94714,60,9,Yes,Socialdemokratiet - The Social democrats,1974,60,Male,1952,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,10,10,13000,13000,65
94769,60,8,Yes,Socialdemokratiet - The Social democrats,1973,63,Female,1954,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,37,37,Not applicable,Not applicable,74
94808,300,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1962,Don't know,Female,1941,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,14,22,Not applicable,Not applicable,64
94869,Not applicable,5,Yes,Socialdemokratiet - The Social democrats,1953,65,Male,1932,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,40,40,Not applicable,Not applicable,62
94930,60,9,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1956,60,Male,1937,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17,40,40,Not applicable,Not applicable,107
95093,210,9,Yes,Socialdemokratiet - The Social democrats,1995,50,Female,1975,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,37,30000,Not applicable,81
95134,240,7,Yes,Enhedslisten - Unity List - The Red-Green Alliance,2004,Don't know,Male,1994,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",22,28,37,29000,32000,44
95182,480,8,Yes,Socialdemokratiet - The Social democrats,1975,60,Female,1956,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,30,35,35000,40000,65
95209,120,9,Yes,Socialdemokratiet - The Social democrats,1986,45,Male,1966,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,30000,Not applicable,51
95230,240,8,No,Not applicable,1973,59,Female,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",19,40,40,Not applicable,Not applicable,62
95233,90,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1981,64,Female,1959,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,37,45,35000,38000,60
95310,540,8,Yes,Liberal Alliance - Liberal Alliance,1990,55,Male,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,42,65000,Not applicable,72
95337,300,2,No,Not applicable,2015,40,Male,1996,Folkeskole 9.-10. klasse,12,37,37,4000,6000,47
