"idno","ppltrst","happy","cgtsday","alcfreq","height","weight","gndr","yrbrn"
"281",926026,"9","9",NA,"Once a week",167,63,"Female",1976
"282",926034,"7","Extremely happy",20,"Once a week",173,72,"Male",1956
"283",926050,"7","9",10,"2-3 times a month",166,58,"Female",1974
"284",926092,"7","9",15,"2-3 times a month",173,115,"Female",1975
"285",926107,"5","8",NA,"Less than once a month",187,84,"Male",1999
"286",926115,"9","9",NA,"2-3 times a month",170,58,"Female",1961
"287",926131,"8","9",NA,"Less than once a month",176,79,"Female",1982
"288",926149,"Most people can be trusted","5",NA,"Several times a week",198,105,"Male",1956
"289",926181,"5","8",NA,"Every day",183,66,"Male",1962
"290",926199,"5","7",NA,"Once a month",175,66.1,"Female",1979
"291",926238,"4","9",10,"2-3 times a month",169,56,"Female",1969
"292",926246,"5","5",NA,"Never",150,53,"Female",1969
"293",926288,"Most people can be trusted","9",NA,"2-3 times a month",160,59,"Female",1951
"294",926319,"7","8",13,"Never",172,62,"Male",1957
"295",926343,"2","Extremely happy",NA,"Several times a week",189,80,"Male",1987
"296",926351,"8","9",NA,"Once a week",170,60,"Female",1973
"297",926377,"5","8",20,"Once a week",176,82,"Male",1951
"298",926385,"8","8",NA,"Once a week",176,73,"Male",1943
"299",926408,"7","8",NA,"Once a week",172,76,"Male",1945
"300",926458,"8","7",15,"Once a week",172,77,"Male",1986
"301",926513,"7","9",NA,"Once a week",159,72,"Female",1948
"302",926539,"7","8",0,"Once a week",165,59,"Female",1994
"303",926555,"6","8",NA,"Less than once a month",183,75,"Male",1995
"304",926563,"7","8",NA,"Never",195,66,"Male",1997
"305",926589,"9","Extremely happy",NA,"Several times a week",172,68,"Male",1965
"306",926597,"6","7",NA,"Less than once a month",173,68,"Female",1978
"307",926652,"3","7",NA,"2-3 times a month",172,62,"Female",1990
"308",926660,"3","5",NA,"Once a week",186,66,"Male",1965
"309",926678,"9","9",NA,"Less than once a month",180,85,"Male",1941
"310",926694,"8","Extremely happy",NA,"Every day",177,78,"Male",1939
"311",926709,"3","9",NA,"2-3 times a month",179,NA,"Female",1981
"312",926725,"5","Extremely happy",NA,"Once a week",168,70,"Male",1971
